1.36 	 1.16 	 371.09 	 990.99 	 614.7777849644485 	 0.0004695064885046275 	 -3.0
1.39 	 1.18 	 326.59 	 886.0 	 546.2286753683984 	 0.00048733015263409315 	 -3.0
1.41 	 1.2 	 287.71 	 793.45 	 486.0330415284906 	 0.0005056940444695714 	 -3.0
1.44 	 1.23 	 253.17 	 710.62 	 432.33057012460404 	 0.0005250075517363872 	 -3.0
1.47 	 1.25 	 223.05 	 636.57 	 384.81619480694707 	 0.0005450468798985663 	 -3.0
1.49 	 1.27 	 196.34 	 571.05 	 342.7491948162318 	 0.0005659155906234525 	 -3.0
1.52 	 1.29 	 172.96 	 512.28 	 305.38803510727365 	 0.0005876461663525035 	 -3.0
1.55 	 1.32 	 152.26 	 459.7 	 272.108046575795 	 0.0006103886854688471 	 -3.0
1.57 	 1.34 	 134.03 	 413.01 	 242.65933258363864 	 0.0006340020414787537 	 -3.0
1.6 	 1.36 	 117.87 	 371.09 	 216.35336224540208 	 0.0006587743240309038 	 -3.0
1.36 	 1.16 	 371.09 	 990.99 	 614.7777849644485 	 0.0005034364181446786 	 -2.9696969696969697
1.39 	 1.18 	 326.59 	 886.0 	 546.2286753683984 	 0.0005225481489668258 	 -2.9696969696969697
1.41 	 1.2 	 287.71 	 793.45 	 486.0330415284906 	 0.0005422391482505522 	 -2.9696969696969697
1.44 	 1.23 	 253.17 	 710.62 	 432.33057012460404 	 0.0005629483890348169 	 -2.9696969696969697
1.47 	 1.25 	 223.05 	 636.57 	 384.81619480694707 	 0.0005844359037742299 	 -2.9696969696969697
1.49 	 1.27 	 196.34 	 571.05 	 342.7491948162318 	 0.0006068127382501408 	 -2.9696969696969697
1.52 	 1.29 	 172.96 	 512.28 	 305.38803510727365 	 0.0006301137223198151 	 -2.9696969696969697
1.55 	 1.32 	 152.26 	 459.7 	 272.108046575795 	 0.0006544997801142135 	 -2.9696969696969697
1.57 	 1.34 	 134.03 	 413.01 	 242.65933258363864 	 0.000679819607765297 	 -2.9696969696969697
1.6 	 1.36 	 117.87 	 371.09 	 216.35336224540208 	 0.0007063821143603456 	 -2.9696969696969697
1.36 	 1.16 	 371.09 	 990.99 	 614.7777849644485 	 0.0005398183695428221 	 -2.9393939393939394
1.39 	 1.18 	 326.59 	 886.0 	 546.2286753683984 	 0.0005603112520592948 	 -2.9393939393939394
1.41 	 1.2 	 287.71 	 793.45 	 486.0330415284906 	 0.0005814252651598632 	 -2.9393939393939394
1.44 	 1.23 	 253.17 	 710.62 	 432.33057012460404 	 0.0006036311052455498 	 -2.9393939393939394
1.47 	 1.25 	 223.05 	 636.57 	 384.81619480694707 	 0.000626671462983086 	 -2.9393939393939394
1.49 	 1.27 	 196.34 	 571.05 	 342.7491948162318 	 0.0006506654091239557 	 -2.9393939393939394
1.52 	 1.29 	 172.96 	 512.28 	 305.38803510727365 	 0.0006756502905824524 	 -2.9393939393939394
1.55 	 1.32 	 152.26 	 459.7 	 272.108046575795 	 0.0007017986610294351 	 -2.9393939393939394
1.57 	 1.34 	 134.03 	 413.01 	 242.65933258363864 	 0.0007289482822866425 	 -2.9393939393939394
1.6 	 1.36 	 117.87 	 371.09 	 216.35336224540208 	 0.0007574303874429462 	 -2.9393939393939394
1.36 	 1.16 	 371.09 	 990.99 	 614.7777849644485 	 0.0005788295434998238 	 -2.909090909090909
1.39 	 1.18 	 326.59 	 886.0 	 546.2286753683984 	 0.0006008033897067461 	 -2.909090909090909
1.41 	 1.2 	 287.71 	 793.45 	 486.0330415284906 	 0.0006234432538795822 	 -2.909090909090909
1.44 	 1.23 	 253.17 	 710.62 	 432.33057012460404 	 0.0006472538483406667 	 -2.909090909090909
1.47 	 1.25 	 223.05 	 636.57 	 384.81619480694707 	 0.0006719592687260187 	 -2.909090909090909
1.49 	 1.27 	 196.34 	 571.05 	 342.7491948162318 	 0.0006976871906995545 	 -2.909090909090909
1.52 	 1.29 	 172.96 	 512.28 	 305.38803510727365 	 0.000724477660133314 	 -2.909090909090909
1.55 	 1.32 	 152.26 	 459.7 	 272.108046575795 	 0.0007525157006725968 	 -2.909090909090909
1.57 	 1.34 	 134.03 	 413.01 	 242.65933258363864 	 0.000781627349636695 	 -2.909090909090909
1.6 	 1.36 	 117.87 	 371.09 	 216.35336224540208 	 0.0008121677774096507 	 -2.909090909090909
1.36 	 1.16 	 371.09 	 990.99 	 614.7777849644485 	 0.0006206599466260596 	 -2.878787878787879
1.39 	 1.18 	 326.59 	 886.0 	 546.2286753683984 	 0.0006442217816552382 	 -2.878787878787879
1.41 	 1.2 	 287.71 	 793.45 	 486.0330415284906 	 0.000668497765918536 	 -2.878787878787879
1.44 	 1.23 	 253.17 	 710.62 	 432.33057012460404 	 0.0006940290858957377 	 -2.878787878787879
1.47 	 1.25 	 223.05 	 636.57 	 384.81619480694707 	 0.0007205198983809364 	 -2.878787878787879
1.49 	 1.27 	 196.34 	 571.05 	 342.7491948162318 	 0.0007481071058035978 	 -2.878787878787879
1.52 	 1.29 	 172.96 	 512.28 	 305.38803510727365 	 0.0007768336480396874 	 -2.878787878787879
1.55 	 1.32 	 152.26 	 459.7 	 272.108046575795 	 0.0008068979198793573 	 -2.878787878787879
1.57 	 1.34 	 134.03 	 413.01 	 242.65933258363864 	 0.0008381133868422305 	 -2.878787878787879
1.6 	 1.36 	 117.87 	 371.09 	 216.35336224540208 	 0.0008708608864893447 	 -2.878787878787879
1.36 	 1.16 	 371.09 	 990.99 	 614.7777849644485 	 0.0006655133167818004 	 -2.8484848484848486
