0.535405E-3, 0.792400E-4, 0.741572E-1, 0.126888E-3, 0.132200E+12, 0.203300E+30, 937.457, 18.6420, -0.164496E-2, 0.219270E-2
0.674054E-3, 0.997600E-4, 0.933416E-1, 0.162090E-3, 0.166400E+12, 0.259700E+30, 937.286, 19.8081, -0.182703E-2, 0.183493E-2
0.746622E-3, 0.110500E-3, 0.103439, 0.180502E-3, 0.184400E+12, 0.289200E+30, 937.729, 20.4264, -0.135399E-2, 0.182344E-2
0.848649E-3, 0.125600E-3, 0.117574, 0.205343E-3, 0.209600E+12, 0.329000E+30, 937.737, 21.0871, -0.134560E-2, 0.175741E-2
0.106824E-2, 0.158100E-3, 0.148090, 0.279179E-3, 0.264000E+12, 0.447300E+30, 938.451, 22.7674, -0.584489E-3, 0.241958E-2
0.134459E-2, 0.199000E-3, 0.186515, 0.363001E-3, 0.332500E+12, 0.581600E+30, 939.085, 24.2982, 0.901053E-4, 0.218144E-2
0.169324E-2, 0.250600E-3, 0.234925, 0.470478E-3, 0.418800E+12, 0.753800E+30, 939.326, 25.9146, 0.346842E-3, 0.222014E-2
0.173784E-2, 0.257200E-3, 0.241151, 0.487143E-3, 0.429900E+12, 0.780500E+30, 939.495, 26.1401, 0.527397E-3, 0.267668E-2
0.180405E-2, 0.267000E-3, 0.250182, 0.492448E-3, 0.446000E+12, 0.789000E+30, 938.857, 26.8209, -0.152554E-3, 0.587421E-3
0.211216E-2, 0.312600E-3, 0.293263, 0.521283E-3, 0.522800E+12, 0.835200E+30, 939.809, 28.1198, 0.861245E-3, 0.669321E-3
0.266959E-2, 0.395100E-3, 0.370786, 0.567844E-3, 0.661000E+12, 0.909800E+30, 939.898, 30.2457, 0.955963E-3, 0.600609E-3
0.321554E-2, 0.475900E-3, 0.446738, 0.613594E-3, 0.796400E+12, 0.983100E+30, 940.012, 32.2817, 0.107711E-2, 0.602354E-3
0.392703E-2, 0.581200E-3, 0.545689, 0.675946E-3, 0.972800E+12, 0.108300E+31, 940.064, 34.2479, 0.113224E-2, 0.630130E-3
0.482635E-2, 0.714300E-3, 0.670892, 0.760205E-3, 0.119600E+13, 0.121800E+31, 940.295, 36.7992, 0.137811E-2, 0.672979E-3
0.593649E-2, 0.878600E-3, 0.825153, 0.873174E-3, 0.147100E+13, 0.139900E+31, 940.162, 39.1443, 0.123636E-2, 0.732324E-3
0.727703E-2, 0.107700E-2, 1.01251, 0.102234E-2, 0.180500E+13, 0.163800E+31, 941.069, 42.0234, 0.220113E-2, 0.796159E-3
0.887838E-2, 0.131400E-2, 1.23521, 0.121708E-2, 0.220200E+13, 0.195000E+31, 940.961, 44.4897, 0.208569E-2, 0.874450E-3
0.118108E-1, 0.174800E-2, 1.64357, 0.161778E-2, 0.293000E+13, 0.259200E+31, 941.185, 48.7554, 0.232470E-2, 0.981242E-3
0.154527E-1, 0.228700E-2, 2.15011, 0.218824E-2, 0.383300E+13, 0.350600E+31, 941.101, 53.1453, 0.223482E-2, 0.112619E-2
0.198784E-1, 0.294200E-2, 2.76715, 0.297778E-2, 0.493300E+13, 0.477100E+31, 941.580, 57.3784, 0.274397E-2, 0.127956E-2
0.251757E-1, 0.372600E-2, 3.50480, 0.404506E-2, 0.624800E+13, 0.648100E+31, 941.718, 62.0898, 0.289036E-2, 0.144687E-2
0.314189E-1, 0.465000E-2, 4.37595, 0.545999E-2, 0.780100E+13, 0.874800E+31, 942.238, 66.2851, 0.344239E-2, 0.162421E-2
0.387027E-1, 0.572800E-2, 5.39126, 0.730246E-2, 0.961100E+13, 0.117000E+32, 942.487, 70.4950, 0.370616E-2, 0.181469E-2
0.501622E-1, 0.742400E-2, 6.98940, 0.105792E-1, 0.124600E+14, 0.169500E+32, 942.885, 76.0105, 0.412871E-2, 0.205035E-2
0.601824E-1, 0.890700E-2, 8.39177, 0.137873E-1, 0.149600E+14, 0.220900E+32, 943.702, 80.3433, 0.499483E-2, 0.228763E-2
0.715541E-1, 0.105900E-1, 9.97364, 0.177756E-1, 0.177800E+14, 0.284800E+32, 943.476, 84.5787, 0.475547E-2, 0.252126E-2
0.888514E-1, 0.131500E-1, 12.3969, 0.245350E-1, 0.221000E+14, 0.393100E+32, 944.598, 89.6285, 0.594375E-2, 0.278938E-2
0.120068, 0.177700E-1, 16.7611, 0.385595E-1, 0.298800E+14, 0.617800E+32, 945.394, 97.4760, 0.678634E-2, 0.321353E-2
0.151284, 0.223900E-1, 21.1309, 0.545750E-1, 0.376700E+14, 0.874400E+32, 946.201, 103.147, 0.763970E-2, 0.366504E-2
